2	5.6	5.6	5.6	5.6	5.6	5.6	32.92	NaN	
3	5.5	5.5	5.5	5.5	NaN	NaN	33.00	32.96	
4	2.9	2.6	2.6	2.8	2.9	NaN	32.98	NaN	
5	5.3	5.3	5.3	5.4	5.0	5.4	32.96	NaN	
6	5.1	4.8	4.7	4.6	4.6	4.6	32.99	NaN	
7	5.6	5.4	5.4	5.4	5.4	5.4	33.05	NaN	
8	5.0	5.0	5.0	5.0	4.9	4.9	32.94	NaN	
9	4.8	4.8	4.8	4.4	4.8	4.8	33.04	NaN	
10	5.4	5.4	5.3	5.3	5.3	NaN	33.02	33.04	
11	3.9	3.9	3.9	3.9	NaN	NaN	33.01	NaN	
12	4.4	4.4	4.4	4.4	NaN	NaN	33.01	NaN	
13	3.9	3.7	3.8	3.8	NaN	NaN	33.11	NaN	
14	5.1	5.1	5.1	NaN	NaN	NaN	33.02	NaN	
15	4.1	4.1	4.1	4.1	4.1	NaN	33.00	NaN	
16	5.2	5.2	5.2	5.1	5.1	5.1	33.09	NaN	
17	5.7	5.7	5.7	5.6	5.4	5.4	32.98	33.02	
18	3.4	3.3	3.3	3.3	NaN	NaN	32.98	NaN	
19	4.8	4.8	4.8	4.7	4.9	NaN	32.93	NaN	
21	5.3	5.3	5.3	5.3	5.2	5.1	32.94	NaN	
22	6.6	6.2	6.1	6.1	6.1	6.1	33.03	NaN	
23	6.7	6.1	6.1	5.6	6.1	6.1	33.52	NaN	
24	6.5	6.0	5.8	5.7	5.7	5.7	NaN	NaN	
25	5.4	5.3	5.2	5.1	5.0	5.0	33.16	NaN	
26	6.1	6.1	6.1	6.1	6.1	6.1	32.95	NaN	
27	4.6	4.6	4.6	4.6	4.5	4.5	33.59	NaN	
28	6.0	5.7	5.6	5.6	5.6	5.6	33.05	NaN	
29	6.5	6.4	6.2	6.2	6.1	6.1	33.28	NaN	
30	6.5	6.3	6.3	6.2	6.2	NaN	33.23	NaN	
31	5.1	5.1	5.1	NaN	NaN	NaN	33.11	33.02	
