1	16.7	16.1	12.9	11.7	10.4	10.3	31.87	NaN	
2	16.6	16.2	14.4	11.7	10.3	10.2	31.88	32.43	
3	16.9	16.4	15.9	12.8	10.7	10.7	31.89	NaN	
4	17.3	16.2	15.2	11.8	10.6	10.6	31.90	NaN	
5	17.5	16.4	15.3	12.1	11.2	11.2	31.92	NaN	
6	17.8	17.2	16.7	11.6	11.2	11.2	31.88	NaN	
7	17.8	17.2	15.0	11.7	10.9	10.8	31.89	NaN	
8	18.3	17.2	14.8	12.1	10.9	10.5	31.90	32.42	
9	17.7	17.1	14.2	11.8	10.6	10.5	31.92	NaN	
10	17.8	17.6	17.2	12.1	10.5	10.5	31.93	NaN	
11	17.2	17.2	14.4	11.7	10.5	10.4	31.96	NaN	
12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
14	15.4	14.1	12.7	11.9	11.6	11.6	32.09	NaN	
15	17.1	15.6	13.6	10.8	10.6	10.6	32.11	32.52	
16	16.8	15.6	13.6	10.9	10.5	10.5	32.08	NaN	
17	15.7	14.4	12.8	11.6	11.3	11.3	32.06	NaN	
18	15.4	14.2	12.4	11.1	11.1	11.1	32.10	NaN	
19	16.1	16.3	16.3	11.4	11.2	11.2	32.10	NaN	
20	13.9	13.8	12.9	12.2	12.1	12.1	32.10	NaN	
21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22	15.0	14.8	14.1	13.4	13.2	13.2	32.07	32.15	
23	15.0	14.4	14.2	13.6	13.2	13.2	32.09	NaN	
24	16.9	15.1	14.4	13.3	12.8	12.8	32.06	NaN	
25	17.2	14.9	14.0	13.2	12.7	12.7	32.05	NaN	
26	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
27	17.1	16.5	15.0	13.1	12.1	12.1	32.10	NaN	
28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
29	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
