1	4.8	4.4	4.2	3.5	2.6	NaN	32.64	NaN	
2	3.9	2.9	2.8	2.5	NaN	NaN	32.63	NaN	
3	5.4	4.9	4.6	4.2	1.3	NaN	32.60	NaN	
4	5.8	5.6	5.0	4.8	3.9	NaN	32.60	NaN	
6	5.3	4.8	4.0	3.6	3.1	2.7	32.65	NaN	
7	4.8	4.6	4.4	3.9	3.5	NaN	32.64	NaN	
8	3.3	3.0	2.9	2.6	1.4	1.3	32.64	NaN	
9	3.9	3.1	3.2	2.9	2.6	1.7	32.66	NaN	
10	2.8	2.8	2.8	2.6	2.2	1.9	32.60	NaN	
11	0.8	1.1	1.3	1.4	1.5	1.5	32.60	NaN	
12	4.4	3.2	2.5	1.9	1.9	1.8	32.78	NaN	
14	2.8	2.2	2.2	1.9	1.7	1.6	32.78	NaN	
16	7.7	4.8	4.3	3.2	2.4	2.3	32.76	NaN	
19	2.9	1.9	1.7	1.7	2.2	2.3	32.76	NaN	
23	5.3	5.2	5.1	5.2	5.2	5.2	33.00	NaN	
24	5.0	5.0	5.0	5.0	5.0	4.9	32.94	32.84	
25	4.2	3.9	3.9	3.9	3.9	3.9	32.89	NaN	
26	5.4	5.3	5.2	5.3	5.3	5.3	32.90	NaN	
27	5.1	5.1	5.1	5.1	5.1	5.1	32.91	NaN	
28	4.4	4.4	4.4	4.4	4.4	4.4	33.21	NaN	

