1	14.4	14.6	15.5	16.5	16.6	16.6	34.07	NaN	
2	14.4	14.9	15.7	16.3	16.4	16.4	33.81	NaN	
3	15.0	15.1	15.1	15.1	15.1	15.1	34.32	34.81	
6	15.5	15.6	15.9	16.6	17.0	17.1	35.07	NaN	
7	16.6	16.6	16.6	16.6	16.6	16.6	33.87	NaN	
8	15.1	15.1	15.2	16.6	17.7	17.7	34.59	NaN	
9	12.8	12.9	13.1	13.7	17.3	17.3	33.38	NaN	
11	12.8	12.8	12.8	13.8	17.2	17.3	33.36	34.71	
14	11.7	11.7	11.7	12.7	14.3	15.0	33.12	NaN	
15	11.6	12.0	12.3	12.6	12.8	13.5	33.98	NaN	
16	12.2	12.2	12.3	13.3	13.5	13.5	33.14	NaN	
17	12.2	12.2	12.2	12.3	12.6	13.4	33.03	NaN	
19	13.0	13.1	13.1	13.3	13.7	13.9	33.51	NaN	
20	12.6	13.2	13.9	14.1	14.3	14.4	33.44	NaN	
21	13.3	13.7	13.8	14.2	14.3	14.4	33.48	NaN	
24	10.9	10.9	10.9	11.3	14.9	15.0	32.98	NaN	
25	10.9	11.1	11.2	11.8	13.8	13.9	32.96	NaN	
27	11.3	11.4	12.2	15.2	15.7	15.8	33.23	NaN	
29	9.7	10.0	10.4	14.1	14.6	14.8	32.82	NaN	
30	11.1	11.1	11.1	11.7	12.1	12.3	33.47	NaN	
