1	19.7	18.7	14.5	10.9	10.8	NaN	32.72	NaN
2	18.7	18.7	17.6	11.8	9.2	NaN	32.72	NaN
3	19.8	19.6	16.7	11.4	10.0	NaN	32.72	NaN
4	18.9	18.9	16.5	11.0	10.0	NaN	32.72	NaN
5	17.8	17.2	13.5	9.0	7.8	NaN	32.72	NaN
6	15.9	12.6	8.6	7.6	6.7	NaN	32.72	NaN
7	16.0	13.7	10.0	8.2	8.2	NaN	32.73	NaN
8	19.8	18.0	13.0	9.2	8.8	NaN	32.72	NaN
9	18.5	18.3	15.0	9.0	8.1	NaN	32.72	NaN
10	NaN	16.1	16.0	8.7	5.6	NaN	33.16	NaN
11	19.5	19.2	19.2	13.8	5.4	NaN	34.41	NaN
12	19.2	19.0	18.7	10.3	6.1	NaN	34.41	NaN
13	19.2	19.1	18.6	12.6	10.1	NaN	32.61	NaN
14	16.4	13.9	13.5	10.4	9.9	NaN	32.71	NaN
15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
20	NaN	NaN	NaN	NaN	NaN	NaN	32.66	NaN
21	20.9	20.2	20.0	14.0	10.2	NaN	35.44	NaN
22	19.5	19.6	19.1	11.6	11.0	NaN	35.30	NaN
23	19.0	19.1	19.2	11.1	10.7	NaN	34.86	NaN
24	19.7	19.9	19.9	16.0	12.1	NaN	34.79	NaN
25	21.6	21.5	21.2	16.7	12.9	NaN	35.56	NaN
26	NaN	NaN	NaN	NaN	NaN	NaN	33.34	NaN
27	18.9	NaN	NaN	NaN	NaN	NaN	33.72	NaN
28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
29	19.7	19.8	19.8	11.5	NaN	NaN	34.46	NaN
30	18.3	18.0	17.0	13.0	10.8	NaN	34.65	NaN
31	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
