1	5.9	5.9	5.9	5.8	NaN	NaN	NaN	32.62	
2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
3	5.9	5.9	5.9	5.9	NaN	NaN	32.67	NaN	
4	NaN	NaN	NaN	NaN	NaN	NaN	32.66	NaN	
5	6.2	6.2	6.1	6.1	5.9	NaN	32.64	NaN	
6	6.2	6.1	6.1	6.1	6.0	NaN	32.32	NaN	
7	6.3	6.2	6.2	6.1	6.1	NaN	32.60	NaN	
8	6.5	6.4	6.4	6.4	6.3	NaN	32.67	32.58	
9	6.4	6.4	6.4	6.4	6.3	NaN	32.62	NaN	
10	5.9	5.9	5.9	5.9	5.8	NaN	32.55	NaN	
11	5.6	5.6	5.6	5.5	5.4	5.3	32.65	NaN	
12	5.4	5.3	5.3	5.3	5.2	5.2	32.65	NaN	
13	5.2	5.2	5.2	5.1	5.0	5.0	32.63	NaN	
14	5.4	5.3	5.3	5.3	5.2	NaN	32.66	NaN	
15	5.5	5.4	5.4	5.2	5.2	5.1	32.60	32.49	
16	5.2	5.2	5.2	5.1	5.1	5.1	32.66	NaN	
17	5.3	5.3	5.2	5.2	NaN	NaN	32.74	NaN	
18	5.3	5.2	5.2	5.2	5.2	5.1	32.67	NaN	
19	4.9	4.9	4.9	4.8	4.8	4.8	32.59	NaN	
20	5.2	5.1	5.1	5.0	4.9	NaN	32.61	NaN	
21	5.1	5.0	5.0	5.0	4.9	4.8	32.63	NaN	
22	4.9	4.9	4.8	4.7	4.7	4.6	32.60	32.79	
23	5.1	5.1	5.1	5.0	NaN	NaN	32.64	NaN	
24	5.0	5.0	4.9	4.9	4.8	4.8	32.61	NaN	
25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
26	5.5	5.3	5.2	5.1	5.1	NaN	32.59	NaN	
27	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
28	4.9	4.9	4.9	4.8	4.8	NaN	32.69	NaN	
29	4.5	4.5	4.5	4.5	4.4	4.4	32.57	32.58	
30	4.9	4.9	4.8	4.8	4.8	4.7	32.60	NaN	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
