1	8.6	8.0	7.8	8.0	7.8	NaN	32.78	NaN
2	11.0	10.3	8.5	8.3	NaN	NaN	32.92	33.00
3	11.2	11.1	9.0	NaN	NaN	NaN	32.95	NaN
4	10.0	9.2	8.6	NaN	NaN	NaN	32.57	NaN
5	11.0	8.9	8.5	NaN	NaN	NaN	32.52	NaN
6	13.0	10.1	9.9	7.4	NaN	NaN	32.82	33.16
7	10.1	8.3	8.1	8.1	8.1	NaN	32.28	NaN
8	11.6	8.2	8.2	8.2	8.1	NaN	32.27	NaN
9	8.6	8.1	8.0	8.2	8.0	NaN	32.28	32.54
10	13.3	12.1	9.9	8.4	8.4	NaN	32.81	NaN
11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
12	14.6	11.1	9.7	9.0	8.9	NaN	NaN	NaN
13	16.4	12.5	9.9	8.3	8.2	NaN	32.84	32.98
14	14.7	10.2	8.4	8.7	8.3	NaN	32.54	NaN
15	12.1	9.8	8.6	8.4	8.0	NaN	32.28	NaN
16	13.0	11.1	8.9	9.0	7.9	NaN	32.23	32.99
17	12.8	11.1	8.7	8.7	7.7	NaN	32.51	NaN
18	12.4	9.0	8.9	8.4	NaN	NaN	32.50	NaN
19	14.0	10.0	9.1	8.5	8.0	NaN	32.67	NaN
20	13.7	10.3	9.2	8.6	NaN	NaN	32.57	32.96
21	11.7	11.4	9.8	8.3	NaN	NaN	32.38	NaN
22	14.9	14.9	14.2	8.2	NaN	NaN	32.70	NaN
23	14.4	14.0	13.8	8.8	NaN	NaN	32.64	32.91
24	15.2	13.4	8.8	8.6	NaN	NaN	32.30	NaN
25	13.5	13.6	7.6	7.0	7.0	NaN	32.54	NaN
26	15.0	14.4	13.9	8.1	8.1	NaN	32.56	NaN
27	16.1	14.8	11.2	8.0	8.0	NaN	32.55	32.80
28	15.9	15.5	12.0	7.9	7.9	NaN	32.60	NaN
29	16.0	15.3	13.3	7.9	7.9	NaN	32.56	NaN
30	17.3	15.8	14.8	7.9	NaN	NaN	32.61	NaN
31	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
