1	19.5	14.3	13.2	12.6	11.8	11.8	32.29	NaN	
2	17.7	15.8	13.9	13.3	11.8	11.8	32.28	NaN	
3	16.1	13.3	12.4	12.2	11.8	11.8	32.18	NaN	
4	19.9	15.7	12.9	11.8	11.0	10.9	32.45	NaN	
5	15.7	12.9	12.7	11.8	11.2	11.2	32.19	32.56	
6	19.0	13.3	12.8	11.7	10.6	NaN	32.29	NaN	
7	14.6	12.4	12.2	12.1	11.8	11.8	32.11	NaN	
8	17.1	13.6	13.1	12.2	11.3	11.2	32.22	NaN	
9	16.1	13.6	12.9	12.4	11.8	NaN	32.14	NaN	
10	16.7	14.3	14.0	12.4	11.6	11.5	32.14	NaN	
11	17.4	13.9	13.2	12.9	12.1	11.4	32.15	NaN	
12	NaN	NaN	NaN	NaN	NaN	NaN	32.22	32.37	
13	14.3	13.7	13.4	13.2	11.7	11.2	32.23	NaN	
14	16.4	13.7	13.2	13.1	10.9	10.6	32.21	NaN	
15	NaN	14.8	14.1	13.1	11.3	11.1	32.14	NaN	
15	19.4	19.4	19.0	17.9	14.2	12.8	32.64	NaN	
16	16.6	13.8	13.4	13.3	11.1	10.6	32.18	NaN	
17	NaN	13.3	13.3	12.2	11.2	11.1	32.07	NaN	
19	15.6	13.5	13.2	12.2	10.8	10.8	32.10	32.24	
20	17.2	15.6	13.3	11.6	11.2	11.1	32.76	NaN	
21	15.6	15.6	13.9	11.5	11.2	11.2	32.53	NaN	
22	15.9	15.7	15.7	12.2	12.2	12.2	32.75	NaN	
23	17.9	17.8	17.7	15.1	15.1	14.9	32.72	NaN	
24	NaN	NaN	NaN	NaN	NaN	NaN	32.77	NaN	
25	15.1	15.0	14.9	14.8	12.3	12.3	32.60	NaN	
26	16.6	16.6	16.6	14.0	14.0	14.0	32.64	NaN	
27	15.8	15.7	15.7	14.9	12.9	12.9	32.40	NaN	
28	15.7	15.4	15.4	15.1	12.9	12.9	32.72	NaN	
29	15.7	15.6	15.4	13.8	13.4	NaN	32.77	NaN	
30	16.1	15.9	15.8	14.0	13.4	13.4	32.64	NaN	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
