1	4.00	4.00	4.00	4.00	4.00	NaN	29.46	NaN
2	4.00	4.00	4.00	4.00	4.00	NaN	32.6	NaN
3	4.00	4.00	4.00	4.00	4.00	NaN	32.75	NaN
4	4.30	NaN	NaN	NaN	NaN	NaN	32.55	NaN
5	4.10	4.10	4.10	4.10	4.10	NaN	30.70	NaN
6	4.00	4.00	4.00	4.00	3.90	NaN	32.79	NaN
7	3.90	3.90	4.00	4.00	4.10	NaN	32.61	NaN
8	3.90	4.00	4.00	4.00	4.00	NaN	32.67	NaN
9	4.00	4.00	4.00	4.00	4.00	NaN	32.61	NaN
10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
11	4.40	4.50	4.50	4.50	NaN	NaN	32.53	NaN
12	4.20	4.10	4.10	4.10	4.10	4.10	32.39	NaN
13	4.20	4.20	4.20	4.20	4.20	4.10	32.41	32.41
14	4.30	4.30	4.30	4.30	4.30	NaN	32.42	NaN
15	4.20	4.10	4.10	4.10	4.10	4.10	32.45	NaN
16	4.20	4.10	4.10	4.10	4.20	4.20	32.38	NaN
17	4.00	4.00	4.00	4.00	4.00	4.10	32.45	NaN
18	5.00	3.20	3.50	3.90	3.90	4.00	32.30	NaN
19	3.80	3.70	3.90	3.90	3.90	3.90	32.30	NaN
20	4.90	4.00	3.60	4.00	4.00	4.10	32.30	32.34
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
21	3.80	3.80	3.80	3.90	3.90	3.90	32.33	NaN
22	4.00	3.50	3.50	3.50	3.50	3.50	32.36	NaN
23	3.50	3.70	3.70	3.70	3.70	3.70	32.36	32.39
24	3.70	3.70	3.80	3.90	3.90	3.90	32.44	NaN
25	3.60	3.70	3.80	3.80	3.90	3.90	32.36	NaN
26	4.00	3.80	3.80	3.80	3.80	3.80	32.39	NaN
27	3.80	3.70	3.80	3.90	3.90	3.90	32.04	32.42
28	4.00	3.80	3.70	3.70	3.70	3.70	32.39	NaN
29	4.00	3.70	3.80	3.80	3.80	3.90	32.03	NaN
30	4.20	4.20	4.20	4.20	4.20	4.20	32.06	32.47
31	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
