1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2	6.10	5.30	5.00	4.90	4.80	4.80	32.55	NaN
3	6.00	4.20	3.60	3.30	3.30	3.30	33.23	NaN
4	6.00	4.30	3.40	3.30	3.20	3.20	33.23	NaN
5	8.40	4.90	3.60	3.30	NaN	NaN	33.20	NaN
6	9.90	4.60	2.70	2.50	2.50	NaN	33.19	NaN
7	12.70	5.70	4.30	4.00	4.00	NaN	33.20	NaN
8	12.20	5.30	4.50	3.40	3.40	3.40	33.29	NaN
9	14.20	6.50	6.00	4.90	4.90	4.80	33.15	NaN
10	13.30	NaN	NaN	NaN	NaN	NaN	33.13	NaN
11	13.90	NaN	NaN	NaN	NaN	NaN	33.10	NaN
12	14.20	6.80	5.60	5.10	5.10	5.10	32.38	32.60
13	13.90	NaN	NaN	NaN	NaN	NaN	32.08	NaN
14	13.90	NaN	NaN	NaN	NaN	NaN	32.36	NaN
15	13.90	NaN	NaN	NaN	NaN	NaN	NaN	NaN
16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
17	14.00	13.30	12.20	8.70	8.60	8.50	32.32	32.17
18	14.00	13.30	9.60	7.30	7.10	6.90	32.34	NaN
19	13.90	NaN	NaN	NaN	NaN	NaN	31.28	NaN
20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
21	9.40	9.20	9.10	7.20	7.10	7.10	32.02	NaN
22	10.30	9.30	7.80	7.00	7.00	7.00	32.21	32.41
23	13.50	12.10	9.90	7.30	7.20	7.20	32.22	NaN
24	13.40	11.30	9.10	9.70	7.50	7.40	32.25	NaN
25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
26	NaN	NaN	NaN	NaN	NaN	NaN	32.50	32.31
27	11.00	9.80	8.70	8.40	8.40	8.00	32.03	NaN
28	10.00	NaN	NaN	NaN	NaN	NaN	31.95	NaN
29	10.00	NaN	NaN	NaN	NaN	NaN	32.26	32.28
30	14.40	13.70	11.90	10.00	9.60	9.60	32.33	NaN
31	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
