1	12.2	7.7	7.1	6.8	6.7	6.5	32.41	NaN
2	11.7	7.4	7.2	6.8	6.7	6.7	32.54	NaN
3	12.2	7.2	6.9	6.7	6.7	6.8	32.49	32.47
4	12.8	NaN	NaN	NaN	NaN	NaN	32.52	NaN
5	13.6	9.4	9.1	8.8	8.3	NaN	32.88	NaN
6	12.2	7.8	7.0	6.7	6.3	NaN	32.48	NaN
7	9.4	8.9	7.9	6.7	6.2	NaN	32.60	NaN
8	13.1	12.3	10.9	8.4	8.4	NaN	32.64	NaN
9	12.9	12.6	11.4	9.3	8.2	8.1	32.63	NaN
10	11.7	10.9	10.4	9.6	8.3	8.3	32.52	NaN
11	11.7	10.6	10.4	9.5	8.8	8.3	32.42	NaN
13	10.6	10.1	9.9	9.8	9.3	9.3	32.53	NaN
14	10.6	9.9	9.8	9.7	9.6	NaN	32.39	NaN
15	10.0	9.4	9.4	9.3	9.3	NaN	32.48	NaN
16	9.9	9.4	9.4	9.3	9.3	NaN	32.59	NaN
17	10.6	9.9	9.6	9.1	9.1	9.1	32.72	32.67
18	12.7	9.8	9.4	9.1	9.1	9.1	32.74	NaN
19	12.2	9.5	9.1	9.1	9.1	9.0	32.78	NaN
20	12.2	NaN	NaN	NaN	NaN	NaN	32.69	NaN
21	15.6	NaN	NaN	NaN	NaN	NaN	32.49	NaN
23	12.5	10.8	9.4	8.8	8.7	8.7	32.53	NaN
24	12.2	NaN	NaN	NaN	NaN	NaN	32.21	32.43
25	12.2	10.6	10.5	9.6	9.4	9.3	32.29	NaN
26	11.1	10.4	9.4	9.4	9.3	9.3	32.41	NaN
27	11.1	10.6	10.3	9.4	9.4	9.4	32.44	NaN
28	12.2	10.5	9.9	9.7	8.9	8.8	32.36	NaN
29	11.9	10.3	9.9	9.9	9.4	9.4	32.38	NaN
30	11.9	10.3	10.1	9.5	9.3	9.3	32.28	NaN
